play,comments,danmu,favorites,coins
1133,26,28,1,6
42,3,1,0,0
327,13,51,2,5
88,1,2,3,0
394,1,4,4,0
70,4,0,1,2
51,0,0,0,0
228,0,35,28,5
79,1,0,0,0
1967,14,22,9,9
330,2,20,5,13
613,5,9,11,4
214,2,1,2,2
306,0,9,11,3
714,13,10,86,4
13,0,0,0,0
134,20,0,2,9
41,0,0,0,0
29531,73,502,594,89
57,3,7,2,5
434,5,1,1,1
651,17,31,9,27
2854,9,27,81,3
108,4,0,2,6
1679,29,139,90,66
18388,484,2002,916,969
516,42,20,16,31
647,2,9,7,0
83,1,1,6,0
673,0,8,68,1
17,0,0,0,0
3506,4,80,72,5
499,0,2,6,2
62,0,2,0,0
259,6,7,6,4
236,20,27,0,9
58,3,3,4,1
108,8,9,0,6
9315,28,220,255,14
436,7,10,12,7
153,2,7,5,3
17,0,0,0,0
188,10,5,4,4
13,0,0,0,4
241,3,17,6,3
295,2,4,9,0
762,15,7,33,8
118,6,2,3,2
3307,9,142,85,3
529,4,31,13,15
56,0,0,0,2
895,11,15,6,0
23,0,0,0,0
173685,2658,4046,4828,7308
276,7,5,26,9
87,0,0,1,3
32,0,1,0,0
112,0,0,0,0
217,3,3,4,0
468,3,1,6,4
53,1,0,0,1
3235,44,153,57,29
9,0,0,3,0
4475,24,106,21,39
123,2,6,9,7
264,9,6,32,2
23,0,0,1,1
7311,6,44,312,7
27,1,1,0,0
796,1,37,4,5
1968,30,49,40,169
52,3,0,1,0
118,0,5,2,0
84,3,2,0,5
174,2,0,1,2
60,2,0,0,0
11,0,0,0,2
56,0,0,0,0
18,1,0,0,0
612,0,26,29,3
442,10,17,6,5
966,0,1,1,3
353,2,1,11,1
736,33,52,54,59
425,1,1,20,2
639,15,47,48,65
135,5,2,4,1
1090,10,12,86,2
75,5,5,0,3
124,1,1,0,0
1748,29,190,23,12
232,0,0,12,0
76,8,3,10,1
195,6,12,6,7
185,0,0,8,2
1811,11,36,99,2
6867,13,0,702,24
305,1,2,20,0
15,0,0,1,0
118,1,1,1,0
1670,10,38,203,12
2552,13,41,58,21
785,1,3,4,5
106,0,2,8,1
72,0,0,2,0
1380,67,115,96,72
22,0,0,0,0
52,0,4,0,0
187,0,1,1,0
97,0,1,7,0
66,3,1,5,3
57,0,0,2,0
103,4,22,2,6
41,3,3,6,0
181,1,6,1,0
2472,14,19,87,19
67,0,0,1,0
1768,6,59,49,2
82,9,2,7,3
771,27,72,31,154
1013,7,15,9,7
653,7,15,27,10
363,9,4,0,11
213,3,4,10,6
761,4,6,13,3
1309,4,22,38,6
42,0,0,1,0
74,1,6,7,3
30,1,0,0,2
484,12,4,9,8
55,0,0,3,0
334,6,7,18,9
669,27,100,59,11
182,18,79,39,16
70,3,0,1,2
2045,66,38,50,20
1557,9,4,12,0
55,1,3,3,0
28,0,0,0,0
1122,9,9,6,7
1116,7,12,9,0
41,0,0,0,0
102,8,0,5,3
6,0,0,0,0
3586,26,60,31,22
157,11,16,7,3
36489,226,436,2944,1587
178,0,2,3,0
311,1,3,5,1
72,25,2,0,4
58949,351,315,763,578
20,0,0,0,0
128,0,0,10,1
452,8,14,5,7
55,0,0,2,1
289,8,5,10,2
461,8,7,0,6
300,0,10,13,4
122,3,19,7,3
29,0,0,0,0
128,5,1,1,0
1375,0,43,65,4
354,2,16,14,1
76,2,0,2,1
449,4,6,13,5
227,56,103,9,29
319,3,9,1,3
6635,49,560,358,68
37,2,1,0,2
63,0,0,2,0
27,0,1,0,2
1015,9,16,39,23
225,3,0,0,2
1394,6,7,2,1
138,0,5,4,0
615,4,11,17,2
146,2,6,0,2
52,2,3,4,2
1516,1,25,22,0
81960,221,716,2692,998
318,17,2,66,11
308,12,11,24,12
41,0,0,0,0
451,6,5,3,2
295,3,2,5,3
1439,11,113,67,10
62,2,3,1,2
472,2,3,33,0
275,20,55,11,13
47,1,1,0,4
800,6,20,28,4
10,0,0,0,0
146,5,2,0,0
191,3,16,1,1
43,0,3,4,1
672,6,7,56,5
312,7,18,18,10
1546,22,8,14,2
46,1,0,3,0
163,1,1,3,3
2337,38,234,12,48
2118,19,74,190,11
57,2,0,1,3
4087,11,43,92,81
145,7,4,7,4
1266,6,27,134,12
1461,12,8,4,6
76,5,5,2,0
147,3,7,4,2
248,21,4,3,20
308,2,13,2,0
182,0,10,9,2
70,2,11,2,0
53,0,0,0,0
51,0,3,0,1
399,0,5,8,0
36,5,0,1,0
132,0,1,0,0
43,1,0,0,0
184,14,14,4,11
215,0,0,3,0
65,0,0,0,0
338,1,92,9,0
3,0,0,0,0
83,6,5,1,11
77,0,4,4,2
16,0,2,0,0
157,6,2,0,10
15,0,0,0,0
424,2,3,2,4
16,4,4,1,2
53,0,1,0,0
1349,9,16,31,8
97,0,1,0,1
105,0,4,5,4
1330,15,67,26,20
119,7,2,2,12
13,0,0,0,0
36,0,0,0,0
108,2,0,0,9
122,0,1,1,1
210,4,0,6,2
158,20,80,8,21
129,5,8,1,3
65,0,1,5,0
598,13,23,4,3
16,2,0,0,4
186,15,21,5,19
582,17,20,5,16
434,2,5,11,4
797,41,139,47,28
3974,39,36,11,13
114,7,6,6,3
7180,13,101,43,4
139,1,2,2,2
78,1,0,0,0
571,10,4,4,6
41,0,0,0,0
186,3,30,3,3
74,0,3,0,0
56,0,1,1,1
49,0,0,0,0
482,7,1,1,0
397,6,1,10,4
365,3,6,24,2
432,6,12,16,4
499,22,47,136,51
1111,32,117,21,77
4382,28,81,31,8
193402,1878,3792,21608,29677
315,5,15,13,5
151,2,13,6,2
23,1,1,1,3
132,1,1,5,2
46,2,0,1,1
352,1,4,16,4
1263,21,18,42,19
62,0,0,0,0
461,4,5,8,7
3996,127,160,246,135
13595,96,1100,1129,485
89,5,3,0,5
619,7,3,20,4
756,25,46,6,3
26,4,2,1,2
275,9,19,10,13
11,0,0,0,0
254,0,5,4,1
218,1,19,10,3
25,2,4,5,5
7,0,0,0,0
173,1,58,7,3
441,7,8,46,7
387,13,9,81,7
17,3,0,4,2
236,0,1,0,0
159,2,0,11,1
158,1,7,5,0
692,5,10,2,1
144,5,5,12,5
273,0,4,0,0
2058,6,18,23,0
21,0,2,0,2
269,2,4,2,2
348,7,107,61,12
16,0,0,3,4
116,17,12,9,11
80,2,1,1,0
18,3,1,0,0
36,1,0,1,2
106,0,0,2,0
422,14,12,38,44
254,2,1,19,1
2515,23,134,80,47
215,4,38,20,2
1002,8,16,44,3
346,8,22,21,39
14,0,0,0,0
46,0,0,7,1
52,1,0,2,1
246,1,8,3,2
636,4,5,6,2
45,0,0,6,0
1338,14,100,68,5
19,0,0,0,0
307,2,1,1,0
397,25,20,26,14
616,6,32,51,22
15,0,0,0,0
13,0,0,0,0
395,4,198,9,1
92,1,5,2,3
5266,103,398,37,84
760,2,26,37,11
18,1,0,0,3
23,0,1,0,2
39,0,1,0,2
101,0,3,10,8
22,0,0,0,0
10,1,0,0,0
408,3,5,3,6
1763,7,2,47,3
22,0,0,1,0
27,4,0,1,4
115,1,3,2,1
564,9,55,44,10
8,0,0,0,0
246,1,0,9,5
257,0,2,3,3
42,0,0,0,0
28,3,1,1,7
600,4,9,13,3
34,0,2,0,0
4007,78,227,85,67
1063,7,2,3,0
898,1,3,28,1
70,0,0,0,0
19,0,0,4,0
573,5,5,11,0
